".","separator","A declarative sentence ends with a full stop. Don't use a full stop before or after the other separators 'e', 'la', 'li', 'pi', '.', '!', '?', ':'. "
"!","separator","An imperative or an interjection sentence (exclamatory) ends with an exclamation mark. Don't use an exclamation mark before or after the other separators 'e', 'la', 'li', 'pi', '.', '!', '?', ':'. "
"?","separator","An question (interrogative sentence) always ends with a question mark. Don't use a question mark before or after the other separators 'e', 'la', 'li', 'o', 'pi', '.', '!', '?', ':'. "
":","separator","A colon is between an hint sentences and a sentences. Before and after the colon has to be complete sentences. Don't use a colon before or after the other separators 'e', 'la', 'li', 'pi', '.', '!', '?', ':'. "
",","separator","A comma is used after an 'o' to addressing people. Optional you can put a comma before a preposition. Don't use a comma before or after the separators 'e', 'la', 'pi', '.', '!', '?', ':'. "
"''","separator","Quotation marks are used for words with original spelling or for quotes. "
"'","unofficial","An apostrophe can identify a predicate that does not contain a verb. "
"#","unofficial","Number sign "
"a","interjection","ah, ha, uh, oh, ooh, aw, well (emotion word) "
"a a a!","interjection","laugh "
"akesi","adjective","amphibian-, reptilian-, slimy "
"akesi","noun","reptile, amphibian; non-cute animal "
"ala","adjective","no, not, none, un- "
"ala","adjective numeral","null, 0 "
"ala","adverb","don't "
"ala!","interjection","no! "
"ala","noun","nothing, negation, zero "
"alasa","adjective","hunting-, -hunting, hunting "
"alasa","noun","hunting "
"alasa (e )","verb transitive","to hunt, to forage "
"ale","adjective","all, every, complete, whole (ale = ali), (depreciated) "
"ale","adjective numeral","100 (official Toki Pona book) "
"ale","adverb","always, forever, evermore, eternally (ale = ali), (depreciated) "
"ale","noun","everything, anything, life, the universe, (depreciated) "
"ali","adjective","all, every, complete, whole (ale = ali) "
"ali","adverb","always, forever, evermore, eternally (ale = ali) "
"ali","noun","everything, anything, life, the universe "
"anpa","adjective","low, lower, bottom, down "
"anpa","adverb","downstairs, below, deep, low, deeply "
"anpa","noun","bottom, lower part, under, below, floor, beneath "
"anpa","verb intransitive","to prostrate oneself "
"anpa (e )","verb transitive","to defeat, to beat, to vanquish, to conquer, to enslave "
"ante","adjective","different, dissimilar, changed, other, unequal, differential "
"ante","noun","difference, distinction, differential, variation, variance, disagreement "
"ante la ","noun","if difference, if variance, if disagreement "
"ante (e )","verb transitive","to change, to alter, to modify "
"anu ","conjunction","or (used for decision questions) "
"awen","adjective","remaining, stationary, permanent, sedentary "
"awen","adverb","still, yet "
"awen","noun","inertia, continuity, continuum, stay "
"awen","verb intransitive","to stay, to wait,to remain "
"awen (e )","verb transitive","to keep "
"e ","separator","An 'e' introduces a direct object. Don't use 'e' before or after the other separators 'e', 'la', 'li', 'pi', 'o', '.', '!', '?', ':', ','. "
"en ","conjunction","and (used to coordinate head nouns) "
"esun","adjective","commercial, trade, marketable, for sale, salable, deductible "
"esun","noun","market, shop, fair, bazaar, business, transaction "
"esun (e )","verb transitive","to buy, to sell, to barter, to swap "
"ijo","adjective","of something "
"ijo","adverb","of something "
"ijo","noun","thing, something, stuff, anything, object "
"ijo (e )","verb transitive","to objectify "
"ike","adjective","bad, negative, wrong, evil, overly complex "
"ike","adverb","bad, negative, wrong, evil, overly complex "
"ike!","interjection","oh dear! woe! alas! "
"ike","noun","negativity, badness, evil "
"ike la ","noun","if negativity, if badness, if evil "
"ike","verb intransitive","to be bad, to suck "
"ike (e )","verb transitive","to make bad, to worsen "
"ilo","adjective","useful "
"ilo","adverb","usefully "
"ilo","noun","tool, device, machine, thing used for a specific purpose "
"insa","adjective","inner, internal "
"insa","noun","inside, inner world, centre, stomach "
"jaki","adjective","dirty, gross, filthy, obscene "
"jaki","adverb","dirty, gross, filthy "
"jaki!","interjection","ew! yuck! "
"jaki","noun","dirt, pollution, garbage, filth, feces "
"jaki (e )","verb transitive","to pollute, to dirty "
"jan","adjective","human, somebody's, personal, of people "
"jan","adverb","human, somebody's, personal, of people "
"jan","noun","person, people, human, being, somebody, anybody "
"jan (e )","verb transitive","to personify, to humanize, to personalize "
"jelo","adjective","yellowish, yellowy "
"jelo","noun","yellow, light green "
"jo","adjective","private, personal "
"jo","noun","having, possessions, content "
"jo (e )","verb transitive","to have, to contain "
"jo (e )","verb transitive","to get "
"kala","adjective","fish- "
"kala","noun","fish, marine animal, sea creature "
"kalama","adjective","noisy, loud, rowdy "
"kalama","noun","sound, noise, voice "
"kalama","verb intransitive","to make noise "
"kalama (e )","verb transitive","to sound, to ring, to play (an instrument) "
"kama","adjective","coming, future "
"kama","adverb","coming, future "
"kama","noun","event, happening, chance, arrival, beginning "
"kama","verb intransitive","to come, to become, to arrive, to happen "
"kama ","auxiliary verb","to become, to mange to "
"kama (e )","verb transitive","to bring about, to summon "
"kasi","adjective","vegetable, vegetal, biological, biologic, leafy "
"kasi","noun","plant, vegetation, herb, leaf "
"kasi","verb intransitive","to grow "
"kasi (e )","verb transitive","to plant, to grow "
"ken","noun","possibility, ability, power to do things, permission "
"ken la ","noun","if possibility, if ability, if permission "
"ken","verb intransitive","can, is able to, is allowed to, may, is possible "
"ken ","auxiliary verb","to can, may "
"ken (e )","verb transitive","to make possible, to enable, to allow, to permit "
"kepeken","noun","use, usage, tool "
"kepeken ","preposition","with, using "
"kepeken","verb intransitive","to use "
"kili","adjective","fruity "
"kili","adverb","fruity "
"kili","noun","fruit, pulpy vegetable, mushroom "
"kin","adjective","indeed, still, too kin can be the very last word in an adjective group. "
"kin","adverb","actually, indeed, in fact, really, objectively, kin can be the very last word in an adverb group. "
"kin!","interjection","really! "
"kin","noun","reality, fact "
"kin la ","noun","if reality, if fact "
"kipisi ","noun","(unofficial): section, fragment, slice "
"kipisi (e )","verb transitive","(unofficial): to cut "
"kiwen","adjective","hard, solid, stone-like, made of stone or metal "
"kiwen","adverb","hard, solid, stone-like, made of stone or metal "
"kiwen","noun","hard thing, rock, stone, metal, mineral, clay "
"kiwen (e )","verb transitive","to solidify, to harden, to petrify, to fossilize "
"ko","noun","semi-solid or squishy substance; clay, dough, glue, paste, powder, gum "
"ko (e )","verb transitive","to squash, to pulverize "
