"a a a!","ha ha ha! "
"a a a!","Hahaha! (laughter) "
"a a a!","interjection: laugh "
"a a a! ni li ' musi.","Hahaha! That's funny. "
"a! akesi li wile moku e mi!","Ahh! The dinosaur wants to eat me! "
"A: a! sina lukin ala lukin e ijo nasa ni?","Whoa! Do you see that weird thing? "
"a","interjection: ah, ha, uh, oh, ooh, aw, well (emotion word) "
"Akanisan","Afghanistan "
"akesi","adjective: amphibian-, reptilian-, slimy "
"akesi li pakala moli e soweli.","The monitor lizard bite deadly the goat. "
"akesi li pana e telo moli.","The snake emitted venom ("deadly fluid"). "
"akesi","noun: reptile, amphibian; non-cute animal "
"akesi pi telo moli","venomous snakes, poisonous frogs "
"ala","0 "
"ala","adjective: no, not, none, un- "
"ala","adjective numeral: null, 0 "
"ala","adverb: don't "
"ala!","interjection: no! "
"ala li ' jaki.","Nothing is dirty. "
"Alan","Ireland, Irish Gaelic "
"ala","noun: nothing, negation, zero "
"alasa","adjective: hunting-, -hunting, hunting "
"alasa (e )","verb transitive: to hunt, to forage "
"alasa li pana e soweli, tawa mi.","The hunt brings me meat."
"alasa","noun: hunting "
"ale","adjective: all, every, complete, whole (ale = ali), (depreciated) "
"ale","adjective numeral: 100 (official Toki Pona book) "
"ale","adverb: always, forever, evermore, eternally (ale = ali), (depreciated) "
"ale li jo e tenpo.","There is a time for everything. Everything in its right context. "
"ale li ' pona.","All is good. Life is beautiful. Everything will be OK. "
"ale li pona","all is well, I feel calm, I am at peace "
"ale","noun: everything, anything, life, the universe, (depreciated) "
"Alensina","Argentina "
"ali","adjective: all, every, complete, whole (ale = ali) "
"ali","adverb: always, forever, evermore, eternally (ale = ali) "
"ali li ' pona, tawa mi.","Everything's fine to me. "
"ali li ' seme?","The Ultimate Question of Life, the Universe and Everything. "
"ali","noun: everything, anything, life, the universe "
"ali tu","100 + 2 = 102 (Is rarely used.) "
"A: mi mute o tawa.","Let's go. "
"A: mi tawa, tawa ma Elopa.","I went to Europe. "
"A: mi wile moku.","I want to eat. "
"Anku","Korea, Korean "
"anpa","adjective: low, lower, bottom, down "
